function,input_size,clock_cycle
1,5000,12912409
2,5000,19543891
1,5000,13441815
2,5000,19106056
1,5000,13057553
2,5000,19330663
1,5000,13328914
2,5000,19948378
1,5000,13401851
2,5000,19009481
1,5000,13408229
2,5000,19400982
1,5000,13327308
2,5000,19302605
1,10000,26744528
2,10000,39098270
1,10000,26839439
2,10000,38689325
1,10000,26953674
2,10000,38981722
1,10000,26532917
2,10000,38415950
1,10000,26457076
2,10000,38268561
1,10000,27042293
2,10000,38242806
1,10000,27454724
2,10000,38389111
1,10000,26929417
2,10000,38857298
1,10000,27121450
2,10000,38285958
1,10000,26169524
2,10000,38437199
1,10000,26386264
2,10000,38485890
1,10000,26591091
2,10000,38638929
1,10000,26452121
2,10000,38197647
1,10000,26729648
2,10000,38494277
1,10000,26665263
2,10000,38451542
1,10000,26161444
2,10000,38405477
1,10000,26521434
2,10000,38372593
1,10000,26400301
2,10000,38159973
1,10000,26703213
2,10000,38454004
1,10000,27010572
2,10000,38970234
1,10000,27548529
2,10000,39206160
1,10000,27082461
2,10000,38217177
1,10000,26472131
2,10000,38232454
1,10000,26573542
2,10000,38719953
1,10000,26614261
2,10000,38276464
1,10000,26330094
2,10000,38335940
1,10000,26745770
2,10000,38368538
1,10000,26684024
2,10000,38279358
1,10000,26448064
2,10000,38236953
1,10000,26713054
2,10000,38522581
1,10000,26761051
2,10000,38549912
1,10000,27444159
2,10000,40020810
1,10000,27077800
2,10000,40120234
1,10000,26583324
2,10000,39673098
1,10000,27167002
2,10000,39754266
1,10000,27236624
2,10000,41222429
1,10000,27014675
2,10000,38990904
1,10000,26646840
2,10000,38803147
1,10000,26745069
2,10000,38374736
1,10000,26627994
2,10000,38987635
1,10000,27059766
2,10000,42415553
1,10000,27706679
2,10000,46488808
1,10000,27899899
2,10000,39590727
1,10000,26915983
2,10000,39338833
1,10000,26281077
2,10000,39897360
1,10000,26919508
2,10000,39281028
1,10000,27161454
2,10000,39831552
1,10000,26904685
2,10000,43619784
1,10000,27883073
2,10000,41912170
1,10000,27027382
2,10000,40247671
1,10000,27118357
2,10000,38551655
1,10000,26532271
2,10000,39288950
1,10000,26622781
2,10000,39526051
1,10000,26702785
2,10000,43187186
1,10000,27093852
2,10000,38654857
1,10000,26581586
2,10000,38796262
1,10000,27161407
2,10000,39082974
1,10000,26772270
2,10000,39897638
1,10000,26986479
2,10000,38769660
1,10000,27246827
2,10000,39611758
1,10000,27064788
2,10000,39173315
1,10000,26881983
2,10000,39324884
1,10000,27376937
2,10000,39647452
1,10000,26697594
2,10000,39348738
1,10000,26832176
2,10000,39164845
1,10000,26986945
2,10000,39576029
1,10000,26669309
2,10000,41185161
1,10000,26524323
2,10000,38387945
1,10000,27038365
2,10000,38713795
1,10000,26711593
2,10000,38592141
1,10000,27072750
2,10000,38507647
1,10000,26489405
2,10000,38376674
1,10000,26804749
2,10000,38640537
1,10000,26621622
2,10000,38314047
1,10000,26697929
2,10000,38397183
1,10000,26835703
2,10000,38212683
1,10000,27571260
2,10000,38957502
1,10000,26413874
2,10000,38387622
1,10000,26661722
2,10000,38246789
1,10000,26438088
2,10000,38292371
1,10000,26293703
2,10000,41409420
1,10000,27410730
2,10000,38817549
1,10000,26970519
2,10000,38625037
1,10000,27127884
2,10000,38211756
1,10000,26988611
2,10000,38439913
1,10000,26599426
2,10000,38882212
1,10000,26917845
2,10000,38430579
1,10000,27084610
2,10000,38301161
1,10000,26829924
2,10000,38582841
1,10000,27097891
2,10000,39543175
1,10000,26671369
2,10000,38379960
1,10000,26868214
2,10000,38178800
1,10000,26653011
2,10000,38458625
1,10000,26925731
2,10000,41776627
1,10000,30660090
2,10000,45117683
1,10000,28018303
2,10000,38429272
1,10000,26677666
2,10000,38340361
1,10000,28761838
2,10000,40753732
1,10000,27042724
2,10000,39591817
1,10000,29781346
2,10000,56610147
