function,input_size,clock_cycle
1,5,15766
2,5,22226
1,10,31698
2,10,67395
1,10,30622
2,10,42976
1,10,29650
2,10,42997
1,10,30342
2,10,43902
1,10,29657
2,10,42841
1,10,29738
2,10,42875
1,10,30350
2,10,42939
1,10,29306
2,10,42761
1,10,30798
2,10,43047
1,10,29218
2,10,42887
1,10,29724
2,10,42689
1,10,30428
2,10,43836
1,10,29322
2,10,43888
1,10,29572
2,10,43031
1,10,29934
2,10,42944
1,10,29773
2,10,43625
1,10,30342
2,10,42701
1,10,29261
2,10,43023
1,10,30398
2,10,42823
1,10,29776
2,10,42964
1,10,29153
2,10,43708
1,10,30557
2,10,42909
1,10,29098
2,10,42891
1,10,30624
2,10,42905
1,10,29057
2,10,42978
1,10,28941
2,10,44071
1,10,29867
2,10,43025
1,10,29080
2,10,42929
1,10,30769
2,10,42918
1,10,29374
2,10,42853
1,10,30765
2,10,42752
1,10,30287
2,10,43019
1,10,29393
2,10,42919
1,10,30408
2,10,42894
1,10,29063
2,10,42883
1,10,30399
2,10,43921
1,10,29275
2,10,42889
1,10,67907
2,10,47124
1,10,30424
2,10,43012
1,10,29076
2,10,43014
1,10,30401
2,10,43070
1,10,29756
2,10,44033
1,10,29097
2,10,42889
1,10,29827
2,10,42687
1,10,28991
2,10,42994
1,10,30457
2,10,42912
1,10,30527
2,10,42968
1,10,29662
2,10,42818
1,10,29667
2,10,42897
1,10,29069
2,10,43836
1,10,30467
2,10,42931
1,10,29831
2,10,42819
1,10,29014
2,10,42806
1,10,30539
2,10,42764
1,10,29209
2,10,42845
1,10,30986
2,10,43749
1,10,29133
2,10,42764
1,10,29957
2,10,42934
1,10,30777
2,10,42787
1,10,30101
2,10,42788
1,10,30818
2,10,42849
1,10,29061
2,10,42679
1,10,30602
2,10,42832
1,10,30385
2,10,42907
1,10,29841
2,10,42864
1,10,30713
2,10,44021
1,10,29339
2,10,43923
1,10,30533
2,10,42898
1,10,30439
2,10,42989
1,10,29100
2,10,42977
1,10,30490
2,10,43891
1,10,29928
2,10,43915
1,10,29599
2,10,42875
1,10,29829
2,10,42668
1,10,29030
2,10,42991
1,10,30510
2,10,42930
1,10,29042
2,10,42826
1,10,29643
2,10,42846
1,10,30654
2,10,42891
1,10,29040
2,10,42898
1,10,30379
2,10,43037
1,10,29031
2,10,42832
1,10,29677
2,10,43990
1,10,30749
2,10,42970
1,10,29122
2,10,42918
1,10,30829
2,10,42936
1,10,29153
2,10,42773
1,10,30739
2,10,43560
1,10,29664
2,10,42693
1,10,29176
2,10,43050
1,10,30028
2,10,43127
1,10,29084
2,10,42800
1,10,31006
2,10,43526
1,10,28967
2,10,42899
1,10,29860
2,10,99871
1,10,30787
2,10,42830
1,10,29805
2,10,43117
1,10,29768
2,10,42859
1,10,29049
2,10,43880
1,10,30450
2,10,42861
1,100,302853
2,100,463282
1,100,300824
2,100,675412
1,100,306131
2,100,534885
1,100,292239
2,100,444135
1,100,298677
2,100,452537
1,100,306623
2,100,445845
1,100,309976
2,100,428646
1,100,301986
2,100,428087
1,100,299533
2,100,428300
1,100,303043
2,100,428174
1,100,294797
2,100,428203
1,100,301678
2,100,428616
1,100,291549
2,100,475951
1,100,303543
2,100,425997
1,100,301931
2,100,425239
1,100,293783
2,100,425602
1,100,305321
2,100,441289
1,100,309816
2,100,425621
1,100,309086
2,100,426661
1,100,303952
2,100,425307
1,100,309123
2,100,427418
1,100,298021
2,100,427011
1,100,339314
2,100,428401
1,100,297228
2,100,428412
1,100,299991
2,100,429551
1,100,299212
2,100,428184
1,100,295639
2,100,429087
1,100,301410
2,100,428328
1,100,303424
2,100,438281
1,100,294484
2,100,428845
1,100,302649
2,100,428466
1,100,307049
2,100,485197
1,100,296383
2,100,428247
1,100,300159
2,100,429724
1,100,298138
2,100,473208
1,100,298304
2,100,428899
1,100,296267
2,100,428273
1,100,300628
2,100,428576
1,100,292065
2,100,428527
1,100,301351
2,100,428320
1,100,305096
2,100,428348
1,100,289341
2,100,492935
1,100,292301
2,100,429430
1,100,295130
2,100,428298
1,100,305868
2,100,429022
1,100,295516
2,100,427849
1,100,295359
2,100,428471
1,100,300711
2,100,428899
1,100,303869
2,100,428369
1,100,301890
2,100,438752
1,100,296845
2,100,429335
1,100,298603
2,100,531052
1,100,302225
2,100,430842
1,100,292175
2,100,431242
1,100,291719
2,100,428175
1,100,307250
2,100,429707
1,100,289951
2,100,428518
1,100,295175
2,100,428943
1,100,302320
2,100,428683
1,100,303173
2,100,438533
1,100,292671
2,100,428883
1,100,355045
2,100,430467
1,100,305308
2,100,429109
1,100,302552
2,100,428557
1,100,294912
2,100,428853
1,100,292254
2,100,429079
1,100,307319
2,100,428505
1,100,294271
2,100,428343
1,100,305552
2,100,529023
1,100,317269
2,100,428648
1,100,302045
2,100,480441
1,100,305594
2,100,428465
1,100,291327
2,100,428438
1,100,291897
2,100,428670
1,100,307053
2,100,552526
1,100,411309
2,100,458942
1,100,319681
2,100,456244
1,100,317650
2,100,441465
1,100,308855
2,100,438334
1,100,294584
2,100,435691
1,100,347321
2,100,429087
1,100,296483
2,100,428928
1,100,299231
2,100,429239
